species_name,classification
Cardamine_bellidifolia,Common
Cardamine_corymbosa,Common
Cardamine_glanduligera,Common
Cardamine_impatiens,Common
Cardamine_lilacina,Competitively Rare
Cardamine_parviflora,Common
Cardamine_pratensis,Common
Cardamine_resedifolia,Competitively Rare
Carduus_acanthoides,Common
Carduus_crispus,Potentially Invasive
Carduus_defloratus,Common
Carduus_nutans,Common
Carduus_tenuiflorus,Common
Cardwellia_sublimis,Classically Rare
Carex_acuta,Common
Carex_acutiformis,Common
Carex_appropinquata,Common
Carex_aquatilis,Common
Carex_arenaria,Common
Carex_atrata,Common
Carex_bigelowii,Common
Carex_bohemica,Common
Carex_buekii,Competitively Rare
Carex_buxbaumii,Common
Carex_canescens,Common
Carex_capillaris,Common
Carex_capitata,Competitively Rare
Carex_caryophyllea,Common
Carex_cephalotes,Competitively Rare
Carex_cespitosa,Common
Carex_davalliana,Common
Carex_demissa,Common
Carex_diandra,Common
Carex_dioica,Common
Carex_disticha,Common
Carex_divisa,Common
Carex_echinata,Common
Carex_ericetorum,Common
Carex_extensa,Common
Carex_ferruginea,Competitively Rare
Carex_firma,Competitively Rare
Carex_flacca,Common
Carex_foenea,Competitively Rare
Carex_fuliginosa,Competitively Rare
Carex_gaudichaudiana,Common
Carex_grayi,Common
Carex_halleriana,Common
Carex_hartmanii,Competitively Rare
Carex_hebes,Competitively Rare
Carex_hirta,Common
Carex_humilis,Common
Carex_intumescens,Common
Carex_inversa,Common
Carex_lachenalii,Common
Carex_laevigata,Potentially Invasive
Carex_lasiocarpa,Common
Carex_leporina,Common
Carex_limosa,Common
Carex_liparocarpos,Common
Carex_magellanica,Common
Carex_montana,Common
Carex_mucronata,Competitively Rare
Carex_nigra,Common
Carex_obnupta,Common
Carex_oreophila,Competitively Rare
Carex_otrubae,Potentially Invasive
Carex_paniculata,Common
Carex_parviflora,Common
Carex_pediformis,Common
Carex_pendula,Common
Carex_pilosa,Common
Carex_praecox,Common
Carex_pseudocyperus,Common
Carex_pulicaris,Common
Carex_remota,Common
Carex_riparia,Common
Carex_rostrata,Common
Carex_rotundata,Common
Carex_saxatilis,Common
Carex_scabrata,Common
Carex_scopulorum,Competitively Rare
Carex_sempervirens,Common
Carex_spicata,Common
Carex_stipata,Common
Carex_vaginata,Common
Carissa_bispinosa,Common
Carissa_spinarum,Common
Carlina_acaulis,Common
Carlina_acaulis_subsp._acaulis,Common
Carlina_corymbosa,Common
Carlina_racemosa,Common
Carlina_vulgaris,Common
Carpha_nivicola,Relict
Carrichtera_annua,Adaptable Survivor
Carthamus_glaucus,Endemic
Carthamus_lanatus,Common
Carum_carvi,Common
Carum_caucasicum,Competitively Rare
Carum_meifolium,Competitively Rare
Caryota_mitis,Relict
Casearia_decandra,Competitively Rare
Casearia_grandiflora,Competitively Rare
Casearia_javitensis,Competitively Rare
Casearia_sylvestris,Potentially Invasive
Cassia_abbreviata,Relict
Cassia_fistula,Keystone
Cassinia_aculeata,Common
Cassinia_uncata,Common
Cassipourea_guianensis,Relict
Cassytha_glabella,Adaptable Survivor
Castilla_elastica,Endemic
Catabrosa_aquatica,Common
Catalpa_ovata,Competitively Rare
Catananche_caerulea,Common
Catapodium_rigidum,Common
Catunaregam_taylorii,Competitively Rare
Caustis_flexuosa,Adaptable Survivor
